Id,Neighborhood,OverallQual,GrLivArea,YearBuilt,actual_price,pred_price,rel_error,abs_rel_error,valuation_flag
1,CollgCr,7,1710,2003,208499.99999999983,198553.21827287358,0.05009630069786272,0.05009630069786272,Overpriced
2,Veenker,6,1262,1976,181500.00000000006,171426.21095046526,0.05876457861187683,0.05876457861187683,Overpriced
3,CollgCr,7,1786,2001,223500.0,202725.51099539502,0.10247594840235418,0.10247594840235418,Overpriced
4,Crawfor,7,1717,1915,139999.9999999999,179119.01815442188,-0.21839678755215555,0.21839678755215555,Underpriced
5,NoRidge,8,2198,2000,249999.9999999998,311489.7268865386,-0.19740531253198182,0.19740531253198182,Underpriced
6,Mitchel,5,1362,1993,143000.0000000001,148422.8737455477,-0.03653664431025935,0.03653664431025935,Underpriced
7,Somerst,8,1694,2004,306999.99999999994,273917.3216963064,0.12077614551288757,0.12077614551288757,Overpriced
8,NWAmes,7,2090,1973,199999.99999999997,222920.83058511495,-0.1028204969672559,0.1028204969672559,Underpriced
9,OldTown,7,1774,1931,129900.00000000012,130780.51335331496,-0.006732756515002076,0.006732756515002076,Underpriced
10,BrkSide,5,1077,1939,118000.00000000009,112511.43232232919,0.04878231095616078,0.04878231095616078,Overpriced
11,Sawyer,5,1040,1965,129500.00000000006,130795.32919904623,-0.009903482081343458,0.009903482081343458,Underpriced
12,NridgHt,9,2324,2005,344999.9999999997,374644.8683006709,-0.07912791768678307,0.07912791768678307,Underpriced
13,Sawyer,5,912,1962,144000.0,134662.36853271478,0.06934106067662651,0.06934106067662651,Overpriced
14,CollgCr,7,1494,2006,279499.9999999999,220971.61555884787,0.2648683374700905,0.2648683374700905,Overpriced
15,NAmes,6,1253,1960,156999.99999999994,149930.23412134897,0.04715370398827576,0.04715370398827576,Overpriced
16,BrkSide,7,854,1929,131999.9999999999,144643.51335183656,-0.0874115475962069,0.0874115475962069,Underpriced
17,NAmes,6,1004,1970,149000.0,141031.42589164738,0.0565021168719855,0.0565021168719855,Overpriced
18,Sawyer,4,1296,1967,90000.00000000001,112583.25468155064,-0.20059159548574862,0.20059159548574862,Underpriced
19,SawyerW,5,1114,2004,158999.99999999997,150014.24299206355,0.059899359078936336,0.059899359078936336,Overpriced
20,NAmes,5,1339,1958,139000.00000000003,119284.49814249479,0.1652813413688802,0.1652813413688802,Overpriced
21,NridgHt,8,2376,2005,325299.9999999999,340509.76440186816,-0.044667630687729054,0.044667630687729054,Underpriced
22,IDOTRR,7,1108,1930,139400.00000000006,132692.33429440315,0.050550514023776846,0.050550514023776846,Overpriced
23,CollgCr,8,1795,2002,230000.0000000001,251124.8933262015,-0.08412106440901898,0.08412106440901898,Underpriced
24,MeadowV,5,1060,1976,129900.00000000012,136156.20525474017,-0.04594873397826463,0.04594873397826463,Underpriced
25,Sawyer,5,1060,1968,153999.99999999988,141337.71482755462,0.08958886301433731,0.08958886301433731,Overpriced
26,NridgHt,8,1600,2007,256299.99999999997,251599.47523854845,0.018682569814562715,0.018682569814562715,Overpriced
27,NAmes,5,900,1951,134800.0000000001,129049.63157481256,0.044559355613920715,0.044559355613920715,Overpriced
28,NridgHt,8,1704,2007,305999.9999999998,299917.5325192583,0.020280466532415647,0.020280466532415647,Overpriced
