Id,Neighborhood,OverallQual,GrLivArea,YearBuilt,actual_price,pred_price,rel_error,abs_rel_error
524,Edwards,10,4676,2007,184750.00000000006,733347.9477582815,-0.7480732024071942,0.7480732024071942
1299,Edwards,10,5642,2008,159999.99999999997,631354.5852457674,-0.746576640545476,0.746576640545476
31,IDOTRR,4,1317,1920,40000.0,91031.16427384125,-0.5605900427718201,0.5605900427718201
496,IDOTRR,4,720,1920,34899.99999999998,78072.11480954786,-0.5529773967935109,0.5529773967935109
633,NWAmes,7,1411,1977,82500.00000000001,181685.16855235636,-0.5459178057441385,0.5459178057441385
1325,Somerst,8,1795,2006,146999.99999999988,309083.898905893,-0.5244009781151457,0.5244009781151457
463,Sawyer,5,864,1965,62383.000000000044,124158.05150803503,-0.49755171539589715,0.49755171539589715
411,Edwards,5,1276,1958,60000.000000000015,109900.01746256134,-0.45404922232665085,0.45404922232665085
969,OldTown,3,968,1910,37900.000000000015,69288.80297088953,-0.4530140747860368,0.4530140747860368
1433,OldTown,4,968,1927,64500.000000000015,103542.54680908998,-0.3770676694004443,0.3770676694004443
